"Gross domestic product (GDP) at basic prices, by industry, provinces and territories, growth rates (x 1,000,000) c 1 2 3 4 5 6 7",,,,,
Frequency: Annual,,,,,
Table: 36-10-0402-02,,,,,
Release date: 2023-11-08,,,,,
Geography: Province or territory,,,,,
,,,,,
,,,,,
,,,,,
North American Industry Classification System (NAICS) 7 8 9,All industries  [T001] 10,,,,
Value,Chained (2017) dollars 11,,,,
Geography,2018,2021,2022,2021 to 2022,2018 to 2022
,Dollars,,,,
Newfoundland and Labrador,"30,128.60","30,128.00","29,690.10",-1.5,-1.5
Prince Edward Island,"6,267.30","6,899.70","7,109.90",3,13.4
Nova Scotia,"40,021.60","41,914.00","43,188.40",3,7.9
New Brunswick,"32,900.50","33,875.20","34,329.70",1.3,4.3
Quebec,"398,857.90","416,656.60","428,252.20",2.8,7.4
Ontario,"789,531.60","809,658.60","839,497.40",3.7,6.3
Manitoba,"67,372.80","66,275.40","68,483.20",3.3,1.6
Saskatchewan,"76,509.80","72,334.70","76,672.90",6,0.2
Alberta,"325,837.80","314,850.00","331,488.80",5.3,1.7
British Columbia,"270,106.40","288,151.00","299,250.40",3.9,10.8
Yukon,"2,857.80","3,117.90","3,297.60",5.8,15.4
Northwest Territories,"4,541.00","4,135.10","4,253.70",2.9,-6.3
Nunavut,"3,105.80","3,734.50","3,741.40",0.2,20.5
,,,,,
,,,,,
Table Corrections:,,,,,
Date,Note,,,,
2015-06-22,"On June 22, 2015, provincial and territorial values for special aggregates (tabulations T002 through T016) were corrected for 2014 and subsequently revised in November, 2015 as part of the annual revision.",,,,
,,,,,
,,,,,
,,,,,
Footnotes:,,,,,
1,"For the gross domestic product (GDP) by industry refer to table 36-10-0434-03 (formerly CANSIM 379-0031) for Canada in chained dollars, table 36-10-0401-01 (formerly CANSIM 379-0029) for Canada in current dollars, table 36-10-0400-01 (formerly CANSIM 379-0028) for provinces and territories in percentage share.",,,,
2,"For the chained dollars, the aggregates are not equal to the sum of their components.",,,,
3,"On June 22, 2015, provincial and territorial values for special aggregates (tabulations T002 through T016) were corrected for 2014 and subsequently revised in November, 2015 as part of the annual revision.",,,,
4,"The November 10, 2015 release incorporates comprehensive revisions to the provincial-territorial estimates of gross domestic product by industry for reference years 2007 to 2014. For more information on the source of these changes, consult the <a href=http://www.statcan.gc.ca/pub/13-605-x/2015003/article/14153-eng.htm"">Latest Developments in the Canadian Economic Accounts in the system of macroeconomic accounts module</a>.""",,,,
5,"As part of the 2015 comprehensive revision of the Canadian System of Macroeconomic Accounts (CSMA), the provincial-territorial Gross Domestic Product (GDP) by industry data in chained (2007) dollars for the period 1997 to 2006 have been released on December 15, 2015. The data for the period 1997 to 2006 have been aligned with those published on November 10, 2015 for the period 2007 to 2014. In addition, the chained (2007) dollars for the provincial and territorial GDP for the following three aggregates were revised for the period 2007-2014 vis-à-vis those released on November 10, 2015: information and communication technology-total, information and communication technology-manufacturing, and information and communication technology-services. The growth rates for these three series for the 2008-2014 period were unaffected.",,,,
6,"With November 8, 2018 release, current price and chained Fisher Gross Domestic Product (GDP) estimates by industry for the period 1997 to 2006 have been revised to improve the continuity of the GDP by industry time series and to enhance their coherence with expenditure-based GDP.",,,,
7,"With May 1, 2019 release, the provincial and territorial gross domestic product (GDP) by industry adopted the <a href=https://www.statcan.gc.ca/eng/subjects/standard/naics/2017/v3/index"">North American Industry Classification System (NAICS) Canada 2017 version 3.0</a>.""",,,,
8,"Since October 17, 2018, the sale of cannabis for non-medical purposes is legal in Canada. The provincial and territorial gross domestic product (GDP) by industry estimates will begin to take into account this activity and the licensed production of cannabis, as well as the unlicensed production and sale of cannabis, in the release of May 1, 2019 data. For more information, please read the article <a href=""https://www150.statcan.gc.ca/n1/pub/13-605-x/2018001/article/54969-eng.htm"">Integrating the production"," distribution and consumption of cannabis in the Canadian national economic accounts</a>"".""",,,
9,"With the legalization of production and sale of edible cannabis, cannabis extracts and cannabis topicals in Canada on October 17, 2019, beginning in reference year 2019, industry 3122 (Tobacco manufacturing) also includes cannabis product manufacturing.",,,,
10,Aggregate T001 combines the North American Industry Classification System (NAICS) codes 11-91.,,,,
11,"With November 8, 2023 release, the series from 1997 to 2022 now have as a reference year 2017 instead of 2012.",,,,
,,,,,
,,,,,
,,,,,
"How to cite: Statistics Canada. Table 36-10-0402-02  Gross domestic product (GDP) at basic prices, by industry, provinces and territories, growth rates (x 1,000,000)",,,,,
https://www150.statcan.gc.ca/t1/tbl1/en/tv.action?pid=3610040202,,,,,
