"Gross domestic product (GDP) at basic prices, by industry, provinces and territories, growth rates (x 1,000,000) c 1 2 3 4 5 6 7",,,,,
Frequency: Annual,,,,,
Table: 36-10-0402-02,,,,,
Release date: 2023-11-08,,,,,
Geography: Province or territory,,,,,
,,,,,
,,,,,
,,,,,
North American Industry Classification System (NAICS) 7 8 9,Finance and insurance  [52],,,,
Value,Chained (2017) dollars 10,,,,
Geography,2018,2021,2022,2021 to 2022,2018 to 2022
,Dollars,,,,
Newfoundland and Labrador,974.9,"1,018.00","1,035.50",1.7,6.2
Prince Edward Island,324.2,333.9,346.5,3.8,6.9
Nova Scotia,"2,273.10","2,481.00","2,551.20",2.8,12.2
New Brunswick,"1,889.10","1,999.60","2,038.00",1.9,7.9
Quebec,"23,931.10","26,859.10","27,359.70",1.9,14.3
Ontario,"72,881.30","82,320.50","83,285.00",1.2,14.3
Manitoba,"3,776.60","4,026.30","4,165.90",3.5,10.3
Saskatchewan,"2,917.60","3,114.40","3,200.90",2.8,9.7
Alberta,"13,779.50","14,546.00","14,724.10",1.2,6.9
British Columbia,"15,367.00","16,954.10","17,208.40",1.5,12
Yukon,74.3,76.6,78.2,2.1,5.2
Northwest Territories,134.1,136.2,142.7,4.8,6.4
Nunavut,41.6,35.7,35.4,-0.8,-14.9
,,,,,
,,,,,
Table Corrections:,,,,,
Date,Note,,,,
2015-06-22,"On June 22, 2015, provincial and territorial values for special aggregates (tabulations T002 through T016) were corrected for 2014 and subsequently revised in November, 2015 as part of the annual revision.",,,,
,,,,,
,,,,,
,,,,,
Footnotes:,,,,,
1,"For the gross domestic product (GDP) by industry refer to table 36-10-0434-03 (formerly CANSIM 379-0031) for Canada in chained dollars, table 36-10-0401-01 (formerly CANSIM 379-0029) for Canada in current dollars, table 36-10-0400-01 (formerly CANSIM 379-0028) for provinces and territories in percentage share.",,,,
2,"For the chained dollars, the aggregates are not equal to the sum of their components.",,,,
3,"On June 22, 2015, provincial and territorial values for special aggregates (tabulations T002 through T016) were corrected for 2014 and subsequently revised in November, 2015 as part of the annual revision.",,,,
4,"The November 10, 2015 release incorporates comprehensive revisions to the provincial-territorial estimates of gross domestic product by industry for reference years 2007 to 2014. For more information on the source of these changes, consult the <a href=http://www.statcan.gc.ca/pub/13-605-x/2015003/article/14153-eng.htm"">Latest Developments in the Canadian Economic Accounts in the system of macroeconomic accounts module</a>.""",,,,
5,"As part of the 2015 comprehensive revision of the Canadian System of Macroeconomic Accounts (CSMA), the provincial-territorial Gross Domestic Product (GDP) by industry data in chained (2007) dollars for the period 1997 to 2006 have been released on December 15, 2015. The data for the period 1997 to 2006 have been aligned with those published on November 10, 2015 for the period 2007 to 2014. In addition, the chained (2007) dollars for the provincial and territorial GDP for the following three aggregates were revised for the period 2007-2014 vis-à-vis those released on November 10, 2015: information and communication technology-total, information and communication technology-manufacturing, and information and communication technology-services. The growth rates for these three series for the 2008-2014 period were unaffected.",,,,
6,"With November 8, 2018 release, current price and chained Fisher Gross Domestic Product (GDP) estimates by industry for the period 1997 to 2006 have been revised to improve the continuity of the GDP by industry time series and to enhance their coherence with expenditure-based GDP.",,,,
7,"With May 1, 2019 release, the provincial and territorial gross domestic product (GDP) by industry adopted the <a href=https://www.statcan.gc.ca/eng/subjects/standard/naics/2017/v3/index"">North American Industry Classification System (NAICS) Canada 2017 version 3.0</a>.""",,,,
8,"Since October 17, 2018, the sale of cannabis for non-medical purposes is legal in Canada. The provincial and territorial gross domestic product (GDP) by industry estimates will begin to take into account this activity and the licensed production of cannabis, as well as the unlicensed production and sale of cannabis, in the release of May 1, 2019 data. For more information, please read the article <a href=""https://www150.statcan.gc.ca/n1/pub/13-605-x/2018001/article/54969-eng.htm"">Integrating the production"," distribution and consumption of cannabis in the Canadian national economic accounts</a>"".""",,,
9,"With the legalization of production and sale of edible cannabis, cannabis extracts and cannabis topicals in Canada on October 17, 2019, beginning in reference year 2019, industry 3122 (Tobacco manufacturing) also includes cannabis product manufacturing.",,,,
10,"With November 8, 2023 release, the series from 1997 to 2022 now have as a reference year 2017 instead of 2012.",,,,
,,,,,
,,,,,
,,,,,
"How to cite: Statistics Canada. Table 36-10-0402-02  Gross domestic product (GDP) at basic prices, by industry, provinces and territories, growth rates (x 1,000,000)",,,,,
https://www150.statcan.gc.ca/t1/tbl1/en/tv.action?pid=3610040202,,,,,
