"REF_DATE","GEO","DGUID","North American Industry Classification System (NAICS)","Statistics","Data type","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2019-07","Newfoundland and Labrador","2016A000210","Agriculture [111-112, 1100, 1151-1152]","Estimate","Seasonally adjusted","Persons","249","thousands","3","v2057624","2.3.1.1","1.8","","","","1"
"2019-07","Newfoundland and Labrador","2016A000210","Forestry, fishing, mining, quarrying, oil and gas [21, 113-114, 1153, 2100]","Estimate","Seasonally adjusted","Persons","249","thousands","3","v2057625","2.4.1.1","14.1","","","","1"
"2019-07","Newfoundland and Labrador","2016A000210","Utilities [22]","Estimate","Seasonally adjusted","Persons","249","thousands","3","v2057626","2.5.1.1","3.6","","","","1"
"2019-07","Newfoundland and Labrador","2016A000210","Construction [23]","Estimate","Seasonally adjusted","Persons","249","thousands","3","v2057627","2.6.1.1","19.5","","","","1"
"2019-07","Newfoundland and Labrador","2016A000210","Manufacturing [31-33]","Estimate","Seasonally adjusted","Persons","249","thousands","3","v2057628","2.7.1.1","9.9","","","","1"
"2019-07","Newfoundland and Labrador","2016A000210","Wholesale and retail trade [41, 44-45]","Estimate","Seasonally adjusted","Persons","249","thousands","3","v2057630","2.9.1.1","36.6","","","","1"
"2019-07","Newfoundland and Labrador","2016A000210","Transportation and warehousing [48-49]","Estimate","Seasonally adjusted","Persons","249","thousands","3","v2057631","2.10.1.1","10.8","","","","1"
"2019-07","Newfoundland and Labrador","2016A000210","Finance, insurance, real estate, rental and leasing [52-53]","Estimate","Seasonally adjusted","Persons","249","thousands","3","v2057632","2.11.1.1","7.1","","","","1"
"2019-07","Newfoundland and Labrador","2016A000210","Professional, scientific and technical services [54]","Estimate","Seasonally adjusted","Persons","249","thousands","3","v2057633","2.12.1.1","9.9","","","","1"
"2019-07","Newfoundland and Labrador","2016A000210","Business, building and other support services [55-56]","Estimate","Seasonally adjusted","Persons","249","thousands","3","v2057634","2.13.1.1","7.7","","","","1"
"2019-07","Newfoundland and Labrador","2016A000210","Educational services [61]","Estimate","Seasonally adjusted","Persons","249","thousands","3","v2057635","2.14.1.1","16.6","","","","1"
"2019-07","Newfoundland and Labrador","2016A000210","Health care and social assistance [62]","Estimate","Seasonally adjusted","Persons","249","thousands","3","v2057636","2.15.1.1","40.0","","","","1"
"2019-07","Newfoundland and Labrador","2016A000210","Information, culture and recreation [51, 71]","Estimate","Seasonally adjusted","Persons","249","thousands","3","v2057637","2.16.1.1","8.3","","","","1"
"2019-07","Newfoundland and Labrador","2016A000210","Accommodation and food services [72]","Estimate","Seasonally adjusted","Persons","249","thousands","3","v2057638","2.17.1.1","17.3","","","","1"
"2019-07","Newfoundland and Labrador","2016A000210","Other services (except public administration) [81]","Estimate","Seasonally adjusted","Persons","249","thousands","3","v2057639","2.18.1.1","10.7","","","","1"
"2019-07","Newfoundland and Labrador","2016A000210","Public administration [91]","Estimate","Seasonally adjusted","Persons","249","thousands","3","v2057640","2.19.1.1","17.0","","","","1"
"2019-07","Prince Edward Island","2016A000211","Agriculture [111-112, 1100, 1151-1152]","Estimate","Seasonally adjusted","Persons","249","thousands","3","v2057643","3.3.1.1","4.1","","","","1"
"2019-07","Prince Edward Island","2016A000211","Forestry, fishing, mining, quarrying, oil and gas [21, 113-114, 1153, 2100]","Estimate","Seasonally adjusted","Persons","249","thousands","3","v2057644","3.4.1.1","2.6","","","","1"
"2019-07","Prince Edward Island","2016A000211","Utilities [22]","Estimate","Seasonally adjusted","Persons","249","thousands","3","v2057645","3.5.1.1","0.2","","","","1"
"2019-07","Prince Edward Island","2016A000211","Construction [23]","Estimate","Seasonally adjusted","Persons","249","thousands","3","v2057646","3.6.1.1","6.4","","","","1"
"2019-07","Prince Edward Island","2016A000211","Manufacturing [31-33]","Estimate","Seasonally adjusted","Persons","249","thousands","3","v2057647","3.7.1.1","6.8","","","","1"
"2019-07","Prince Edward Island","2016A000211","Wholesale and retail trade [41, 44-45]","Estimate","Seasonally adjusted","Persons","249","thousands","3","v2057649","3.9.1.1","11.4","","","","1"
"2019-07","Prince Edward Island","2016A000211","Transportation and warehousing [48-49]","Estimate","Seasonally adjusted","Persons","249","thousands","3","v2057650","3.10.1.1","2.9","","","","1"
"2019-07","Prince Edward Island","2016A000211","Finance, insurance, real estate, rental and leasing [52-53]","Estimate","Seasonally adjusted","Persons","249","thousands","3","v2057651","3.11.1.1","3.2","","","","1"
"2019-07","Prince Edward Island","2016A000211","Professional, scientific and technical services [54]","Estimate","Seasonally adjusted","Persons","249","thousands","3","v2057652","3.12.1.1","3.7","","","","1"
"2019-07","Prince Edward Island","2016A000211","Business, building and other support services [55-56]","Estimate","Seasonally adjusted","Persons","249","thousands","3","v2057653","3.13.1.1","2.6","","","","1"
"2019-07","Prince Edward Island","2016A000211","Educational services [61]","Estimate","Seasonally adjusted","Persons","249","thousands","3","v2057654","3.14.1.1","5.7","","","","1"
"2019-07","Prince Edward Island","2016A000211","Health care and social assistance [62]","Estimate","Seasonally adjusted","Persons","249","thousands","3","v2057655","3.15.1.1","10.7","","","","1"
