State,Total nonfarm,Mining and logging,Construction,Manufacturing,"Trade, transportation, and utilities",Information,Financial activities,Professional and business services,Education and health services,Leisure and hospitality,Other services,Government
Alabama,"2,151.50",8.3,100.7,276.2,410.9,23,101.6,265.2,258.7,204,102.3,400.6
Alaska,328,10.8,16.6,11.6,65.6,4.9,11.5,28.1,52.3,36.6,11.6,78.4
Arizona,"3,167.70",14.3,200,194.1,606.9,48.5,249.9,470.6,512.9,345.5,95.2,429.8
Arkansas,"1,360.70",4.9,65.6,161.6,270.7,11.7,70.6,151.5,208.5,130.8,74.2,210.6
California,"18,154.90",20,938.4,"1,337.00","3,160.30",572.6,846.8,"2,889.20","3,141.30","2,070.10",591.8,"2,587.40"
Colorado,"2,917.70",22.2,178.7,155.1,495.5,76.9,171,496.9,360.5,361.9,123,476
Connecticut,"1,698.70",0.5,61.2,158,302.6,32,114.4,223.4,357.5,154.3,63.1,231.7
Delaware,486.6,,,28,89.2,3.5,50,68.4,81.6,54.1,17.6,69.9
District of Columbia,780,,,1,30.6,21.2,28.4,176.3,124.7,77.3,70.9,233.9
Florida,"9,824.00",,615.4,422.9,"2,015.20",152.7,690.2,"1,641.00","1,507.70","1,298.40",352.5,"1,122.20"
Georgia,"4,937.30",10.1,223.7,417.8,"1,022.70",127.7,283.1,774.8,674.6,530.7,173.3,698.8
Hawaii,633.9,,,12.9,115.7,9,26.8,72.2,89.3,119.1,26.8,124.5
Idaho,863.5,4.1,71.1,72,164.8,9.8,41.3,113.3,132.2,92.4,28.3,134.2
Illinois,"6,145.90",7,236.7,562.9,"1,223.60",90.6,412.5,956.5,976.5,599.8,252.8,827
Indiana,"3,284.10",5.8,170.7,539.8,640,25.8,155.2,376.5,492.2,320.6,131.7,425.8
Iowa,"1,585.10",2.3,81.9,227.6,309.4,19.3,106.3,139.1,238.4,141.9,56.7,262.2
Kansas,"1,453.10",6.5,69.3,170.2,274.1,19,76.7,184.5,210.2,133.1,50.8,258.7
Kentucky,"2,034.40",8.8,95,261.7,434,22,92.5,237.3,307,200.5,69,306.6
Louisiana,"1,972.80",33.2,138,138.8,374.3,23.5,94.8,220.8,339.9,218.5,71.6,319.4
Maine,650.3,2.1,32.3,54.9,120.6,7.7,33.6,77.5,131.3,66.7,22.3,101.3
Maryland,"2,759.20",1.4,165.6,108.1,473.2,33.8,132.7,478,465.6,258.6,111.6,530.6
Massachusetts,"3,782.70",1,180.1,236.1,576.4,96.5,233.5,654.3,846.4,359.7,140.5,458.2
Michigan,"4,420.50",7.7,189.6,597.4,814.9,57.2,227.8,652.4,685,410.9,161,616.6
Minnesota,"3,001.30",6.5,139.8,321.7,536.9,45.3,186,383.8,577.8,272.3,107.9,423.3
Mississippi,"1,172.50",6,46.3,148.4,244,10.1,44.5,112.1,155.4,131.7,39.2,234.8
Missouri,"2,992.70",4.6,133.1,287.9,561.4,46.8,188.4,392.2,508.4,314.8,120.1,435
Montana,521.1,6.9,37.2,23.3,100.7,5.4,28.8,51.2,84,73.9,20.3,89.4
Nebraska,"1,047.10",1,61.7,106.6,199.7,18.4,69.6,118.4,162.1,96.9,39.2,173.5
Nevada,"1,571.30",15.2,113.7,70.2,296,18.7,76.4,227.2,169.9,363.3,42.9,177.8
New Hampshire,703.5,1,31.3,71.9,140.4,11.4,34.5,104,126.7,70.6,24.4,87.3
New Jersey,"4,353.00",1.8,164.5,253.6,920.3,77.6,258.8,716.6,791,400.2,170.5,598.1
New Mexico,871.6,24.4,53.4,29.5,141.7,10,33.8,113.2,147.7,100.9,28.7,188.3
